Batalha,Turnos,Resultado,Meu_Time,Time_Adversario,Meus_Papeis,Papeis_Adversario
battle-gen9nationaldex-10728704,94,VITORIA,dondozo/garganacl/corviknight/blissey/toxapex/zapdos,barraskewda/zapdos/ferrothorn/kingdra/toxapex/politoed,TANK/TANK/TANK/TANK/TANK/TANK,SWEE/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10728737,177,VITORIA,zapdosgalar/blissey/gliscor/skarmory/pecharunt/absol,stakataka/reuniclus/abomasnow/gliscor/porygon2/slowbro,TANK/TANK/TANK/TANK/TANK/SWEE,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10728748,296,DERROTA,mawile/slowbro/porygon2/magnezone/cursola/landorustherian,landorustherian/tyranitar/kartana/tapubulu/slowkinggalar/skarmory,TANK/TANK/TANK/TANK/SWEE/SWEE,SWEE/TANK/SWEE/TANK/TANK/TANK
battle-gen9nationaldex-10728753,91,VITORIA,quagsire/amoonguss/mandibuzz/heatran/ferrothorn/umbreon,corviknight/tyranitar/excadrill/dracozolt/clefable/slowbro,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/UTIL/TANK/TANK/TANK
battle-gen9nationaldex-10728785,91,DERROTA,quagsire/amoonguss/mandibuzz/heatran/ferrothorn/umbreon,corviknight/weavile/magnezone/aron/slowbro/hippowdon,TANK/TANK/TANK/TANK/TANK/TANK,TANK/SWEE/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10728788,100,VITORIA,tyranitar/kartana/landorustherian/skarmory/slowkinggalar/tapubulu,landorustherian/cursola/mawile/magnezone/porygon2/slowbro,TANK/SWEE/SWEE/TANK/TANK/TANK,SWEE/SWEE/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10728799,1000,EMPATE,abomasnow/reuniclus/slowbro/porygon2/stakataka/gliscor,gliscor/kartana/hydreigon/corviknight/heatran/charizard,TANK/TANK/TANK/TANK/TANK/TANK,TANK/SWEE/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10728856,114,DERROTA,charizard/corviknight/tapubulu/duraludon/heatran/indeedeef,umbreon/heatran/mandibuzz/quagsire,TANK/TANK/TANK/UTIL/TANK/TANK,TANK/TANK/TANK/TANK
battle-gen9nationaldex-10728863,119,VITORIA,blacephalon/charizard/florges/kartana/kommoo/corviknight,landorustherian/heatran/ninetalesalola/slowkinggalar/arctozolt/mamoswine,SWEE/TANK/TANK/SWEE/TANK/TANK,SWEE/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10728904,128,DERROTA,politoed/barraskewda/zapdos/ferrothorn/toxapex/kingdra,mandibuzz/toxapex/buzzwole/clefable/tyranitar/steelixmega,TANK/SWEE/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10729023,104,DERROTA,quagsire/amoonguss/mandibuzz/heatran/ferrothorn/umbreon,tapukoko/magneton/altariamega/zarude/kartana/gliscor,TANK/TANK/TANK/TANK/TANK/TANK,SWEE/SWEE/TANK/TANK/SWEE/TANK
battle-gen9nationaldex-10729032,100,DERROTA,abomasnow/reuniclus/slowbro/porygon2/stakataka/gliscor,hydreigon/magnezone/gliscor/aggron/serperior/komala,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/UTIL
battle-gen9nationaldex-10729059,83,DERROTA,tyranitar/latias/clefable/excadrill/skarmory/toxapex,zapdosgalar/skarmory/pecharunt/gliscor/absol/blissey,TANK/TANK/TANK/UTIL/TANK/TANK,TANK/TANK/TANK/TANK/SWEE/TANK
battle-gen9nationaldex-10729079,91,VITORIA,drampa/stakataka/slowking/mawile/donphan/cresselia,ferrothorn/swampertmega/ragingbolt/pelipper/mantine/garchomp,TANK/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10729087,126,DERROTA,poliwrath/breloom/medicham/granbull/hypno/sandslash,blissey/zapdos/dondozo/corviknight/garganacl/toxapex,TANK/SWEE/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10729095,127,DERROTA,komala/magnezone/serperior/aggron/hydreigon/gliscor,rillaboom/kommoo/heatran/gliscor/sableyemega/slowbro,UTIL/TANK/TANK/TANK/TANK/TANK,TANK/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10729171,122,DERROTA,tyranitar/reuniclus/magnezone/clefable/toxapex/landorustherian,landorustherian/mamoswine/heatran/arctozolt/slowkinggalar/ninetalesalola,TANK/TANK/TANK/TANK/TANK/SWEE,SWEE/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10729182,95,VITORIA,abomasnow/reuniclus/slowbro/porygon2/stakataka/gliscor,scizor/krookodile/cloyster/latias/mawile/gengar,TANK/TANK/TANK/TANK/TANK/TANK,UTIL/TANK/TANK/TANK/TANK/SWEE
battle-gen9nationaldex-10729212,124,VITORIA,ninetalesalola/reuniclus/walrein/arctozolt/kyurem/sandslashalola,landorustherian/ninetalesalola/arctozolt/heatran/mamoswine/slowkinggalar,TANK/TANK/TANK/TANK/TANK/TANK,SWEE/TANK/TANK/TANK/TANK/TANK
battle-gen9nationaldex-10729223,82,VITORIA,aron/hippowdon/slowbro/corviknight/weavile/magnezone,urshifurapidstrike/melmetal/latios/landorustherian/kartana/audinomega,TANK/TANK/TANK/TANK/SWEE/TANK,UTIL/TANK/UTIL/SWEE/SWEE/TANK
