Batalha,Turno,Meu,Meu_Papel,Meu_HP,Adversario,Papel_Adv,HP_Adv,Matchup,Decisao,HP_Equipa_Meu,HP_Equipa_Adv
battle-gen9nationaldex-10728704,87,blissey,TANK,0.49,zapdos,TANK,0.91,OFFENSIVE_DIS,toxic,0.49,0.91
battle-gen9nationaldex-10728704,88,blissey,TANK,0.31,zapdos,TANK,0.85,OFFENSIVE_DIS,seismictoss,0.31,0.85
battle-gen9nationaldex-10728704,89,blissey,TANK,0.31,zapdos,TANK,0.62,OFFENSIVE_DIS,seismictoss,0.31,0.62
battle-gen9nationaldex-10728704,90,blissey,TANK,0.31,zapdos,TANK,0.56,OFFENSIVE_DIS,seismictoss,0.31,0.56
battle-gen9nationaldex-10728704,91,blissey,TANK,0.31,zapdos,TANK,0.50,OFFENSIVE_DIS,seismictoss,0.31,0.50
battle-gen9nationaldex-10728704,92,blissey,TANK,0.31,zapdos,TANK,0.70,OFFENSIVE_DIS,seismictoss,0.31,0.70
battle-gen9nationaldex-10728704,93,blissey,TANK,0.31,zapdos,TANK,0.38,OFFENSIVE_DIS,seismictoss,0.31,0.38
battle-gen9nationaldex-10728704,94,blissey,TANK,0.31,zapdos,TANK,0.20,OFFENSIVE_DIS,seismictoss,0.31,0.20
battle-gen9nationaldex-10728737,170,pecharunt,TANK,1.00,gliscor,TANK,1.00,DEFENSIVE_DIS,shadowball,1.95,1.00
battle-gen9nationaldex-10728737,171,pecharunt,TANK,1.00,gliscor,TANK,0.92,DEFENSIVE_DIS,shadowball,1.95,0.92
battle-gen9nationaldex-10728737,172,pecharunt,TANK,1.00,gliscor,TANK,0.83,DEFENSIVE_DIS,shadowball,1.95,0.83
battle-gen9nationaldex-10728737,173,pecharunt,TANK,1.00,gliscor,TANK,0.73,DEFENSIVE_DIS,shadowball,1.95,0.73
battle-gen9nationaldex-10728737,174,pecharunt,TANK,1.00,gliscor,TANK,0.62,DEFENSIVE_DIS,shadowball,1.95,0.62
battle-gen9nationaldex-10728737,175,pecharunt,TANK,1.00,gliscor,TANK,0.42,DEFENSIVE_DIS,shadowball,1.95,0.42
battle-gen9nationaldex-10728737,176,pecharunt,TANK,1.00,gliscor,TANK,0.33,DEFENSIVE_DIS,shadowball,1.95,0.33
battle-gen9nationaldex-10728737,177,pecharunt,TANK,1.00,gliscor,TANK,0.15,DEFENSIVE_DIS,shadowball,1.95,0.15
battle-gen9nationaldex-10728748,289,porygon2,TANK,1.00,tapubulu,TANK,0.87,VOLATILE,recover,1.00,1.55
